,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
9723,LIFE,JON BELLION,0.431,0.649,3,-7.175,1,0.0679,0.065,0.00E+00,0.0998,0.363,84.246,203093,0
9724,LET IT GO,A$AP FERG,0.785,0.778,9,-6.003,0,0.165,0.247,0.00E+00,0.652,0.769,119.976,282640,0
9725,SACRILEGIOUS,SCHOOLBOY Q,0.773,0.508,9,-8.583,0,0.0558,0.32,1.02E-01,0.106,0.496,133.966,211436,0
9726,SUMMERTIME IN THAT CUTLASS,NIPSEY HUSSLE,0.91,0.58,1,-3.101,1,0.312,0.0218,0.00E+00,0.0672,0.529,114.893,168947,0
9727,CANARY IN A COAL MINE,THE CRANE WIVES,0.493,0.638,9,-8.211,1,0.0635,0.123,1.17E-06,0.193,0.429,171.75,248120,0
9728,RICO STORY 2,SPEAKER KNOCKERZ,0.813,0.534,0,-8.034,0,0.0649,0.108,3.13E-06,0.0544,0.467,139.998,159573,0
9729,LOST IN FOREVER,P.O.D.,0.42,0.95,7,-4.228,1,0.0678,0.000243,1.10E-06,0.369,0.23,104.895,245747,0
9730,EGGS AISLE,MAC MILLER,0.598,0.566,1,-5.769,0,0.0755,0.0632,2.01E-03,0.188,0.402,89.987,160067,0
9731,WHILE YOU COUNT SHEEP,JON BELLION,0.799,0.502,6,-6.999,1,0.0792,0.503,3.93E-06,0.143,0.819,97.018,205187,0
9732,I LUV DEM STRIPPERS,2 CHAINZ,0.857,0.633,8,-5.205,1,0.203,0.0389,0.00E+00,0.227,0.467,137.956,239573,0
9733,EVIL TWIN,EMINEM,0.648,0.91,4,-4.762,0,0.363,0.0529,0.00E+00,0.0834,0.783,83.091,356847,0
9734,CENTURION,EARL SWEATSHIRT,0.348,0.796,7,-8.266,1,0.485,0.0655,0.00E+00,0.279,0.573,166.224,183960,0
9735,BREAKING DOWN,MINI THIN,0.738,0.582,2,-12.375,0,0.126,0.183,0.00E+00,0.305,0.628,77.391,235980,0
9736,L.A. STORY,SAMMY ADAMS,0.593,0.872,1,-4.525,0,0.0959,0.0784,0.00E+00,0.286,0.523,91.964,208000,0
9737,EMPEZAR DE NUEVO,KIKE PAVÓN,0.731,0.822,9,-5.455,1,0.0467,0.306,0.00E+00,0.133,0.85,94.976,251333,0
9738,D3MONS,MACHINE GUN KELLY,0.434,0.659,8,-7.114,0,0.24,0.0591,0.00E+00,0.281,0.0647,78.434,261413,0
